type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
TV Show,Disney's Mighty Ducks,0,"James Belushi,Brad Garrett,Jeff Bennett,Jennifer Hale,Clancy Brown,Tony Jay",United States,2019-11-12,1996,TV-Y7,1,"Action-Adventure,Animation,Comedy",Hockey-loving alien ducks are stranded on Earth and must protect it from the evil Dragaunus.
TV Show,Disney's Recess,0,"Rickey Collins,Jason Davis,Ashley Johnson,Ross Malinger,Courtland Mead,Pamela Segall",United States,2019-11-12,1997,TV-Y7,3,"Animation,Comedy,Kids",A portrayal of life at Third Street Elementary School.
TV Show,Disney's The Emperor's New School,0,"Shane Baumel,Jessica DiCicco,Wendie Malick,Fred Tatasciore,Jeff Bennett,Jessie Flower",United States,2019-11-12,2005,TV-G,2,"Animation,Comedy,Coming of Age","Disney's The Emperor's New School is a unique comedy about Kuzco, a self-centered and spoiled teen."
Movie,Disney's The Kid,Jon Turteltaub,"Bruce Willis,Spencer Breslin,Emily Mortimer,Lily Tomlin,Chi McBride,Jean Smart",United States,2019-11-12,2000,PG,105,"Comedy,Drama,Family",A man's life is upended when he meets an 8-year-old version of himself.
TV Show,Disney's The Little Mermaid (Series),0,"Jodi Benson,Samuel Wright,Ken Mars,Edan Gross",United States,2019-11-12,1992,TV-Y7,3,"Action-Adventure,Animation,Fantasy","Follow Ariel's adventures as a mermaid living under the sea with her father, King Triton."
Movie,Disneyland Around the Seasons (Walt Disney's Wonderful World of Color: 1961-69),Hamilton Luske,Walt Disney,United States,2019-11-12,1966,TV-PG,51,"Documentary,Family,Variety",Walt Disney talks about Disneyland in 1966. See details for advisory.
Movie,Disneynature African Cats,Keith Scholey,Samuel Jackson,United States,2019-11-12,2011,G,90,"Animals & Nature,Documentary,Family",Come face-to-face with the wildly majestic African lions of the savanna.
Movie,Disneynature Bears,"Alastair Fothergill, Keith Scholey",John Reilly,United States,2019-11-12,2014,G,78,"Animals & Nature,Documentary,Family",A mother bear teaches her two impressionable cubs important life lessons.
Movie,Disneynature Born in China,Lu Chuan,John Krasinski,"United Kingdom, China, United States",2019-11-12,2017,G,81,"Animals & Nature,Documentary,Family",Embrace the beauty of China's vast terrain – and the life that inhabits it.
Movie,Disneynature Chimpanzee,"Alastair Fothergill, Mark Linfield",Tim Allen,"Tanzania, United States",2019-11-12,2012,G,79,"Animals & Nature,Documentary,Family",Meet a remarkable young chimpanzee who sees his world as his playground.
Movie,Disneynature Crimson Wing,"Matthew Aeberhard, Leander Ward",Mariella Frostrup,"United States, United Kingdom",2019-11-12,2008,G,78,"Animals & Nature,Documentary,Family",A million flamingos struggle to survive in the remote Tanzanian wilderness.
Movie,Disneynature Monkey Kingdom,Mark Linfield,Tina Fey,United States,2019-11-12,2015,G,82,"Animals & Nature,Documentary,Family","Forced from their home among ancient ruins, a mother monkey must lead her son to safety."
Movie,Disneynature Wings of Life,Louie Schwartzberg,Meryl Streep,"United States, Panama, Mexico",2019-11-12,2011,G,81,"Animals & Nature,Documentary,Family","An intimate look at butterflies, hummingbirds, bees, bats and flowers."
TV Show,Dog Whisperer with Cesar Millan,0,Cesar Millan,United States,2019-11-12,2004,TV-G,6,"Animals & Nature,Docuseries,Family",World-renowned dog expert Cesar Millan helps dogs and their owners overcome behavior issues.
Movie,Don't Look Under the Bed,Kenneth Johnson,"Erin Chambers,Eric Hodges II,Eric Hodges,Robin Riker,Steve Valentine,Jake Sakson",United States,2019-11-12,1999,TV-PG,93,"Coming of Age,Fantasy",Teen Frances McCausland is framed for the Boogeyman's mischievous pranks.
Movie,Donald's Golf Game,Jack King,0,United States,2019-11-12,1938,TV-G,8,"Animation,Comedy,Family",Donald tries to impress his nephews at golfing. See details for advisory.
Movie,Donald's Tire Trouble,Dick Lundy,0,United States,2019-11-12,1943,TV-G,8,"Animation,Comedy,Family",Donald is frustrated in his attempts to fix a flat tire. See details for advisory.
Movie,Double Teamed,Duwayne Dunham,"Poppi Monroe,Annie McElwain,Teal Redmann,Nick Searcy,Tanya Goott,Joey Miyashima",United States,2019-11-12,2002,TV-G,93,"Biographical,Sports",The WNBA's Burge twins inspire this film about sisterhood and teamwork.
Movie,Doug's 1st Movie,Maurice Joyce,"Thomas McHugh,Fred Newman,Chris Phillips,Constance Shulman,Frank Welker,Doug Preis",United States,2019-11-12,1999,G,80,"Animation,Comedy,Family","Doug and his friends discover the ""monster"" of Lucky Duck Lake."
TV Show,"Dr. T, Lone Star Vet",0,Dr. Lauren Thielen,United States,2019-11-12,2019,TV-PG,1,"Docuseries,Family,Medical","Dr. T, Lone Star Vet follows Dr. T as she faces the most compelling cases of her career."
Movie,DuckTales The Movie: Treasure of the Lost Lamp,Bob Hathcock,"Alan Young,Terence McGovern,Russi Taylor,Richard Libertini,Christopher Lloyd,June Foray","France, United States",2019-11-12,1990,G,75,"Action-Adventure,Animation,Comedy",Scrooge and his nephews search for the long-lost loot of Collie Baba.
Movie,Dug's Special Mission,Ronnie Del Carmen,"Bob Peterson,Delroy Lindo,Jerome Ranft",United States,2019-11-12,2009,TV-PG,6,"Animation,Comedy,Family",Dug finds where he belongs is not where he's been looking.
Movie,Dumbo,Tim Burton,"Colin Farrell,Michael Keaton,Danny DeVito,Eva Green,Alan Arkin,Nico Parker","United States, United Kingdom, Australia, Canada",2019-11-12,2019,PG,117,"Action-Adventure,Family,Fantasy",A flying elephant helps show that differences and family can be cherished.
Movie,Early to Bed,Jack Kinney,0,United States,2019-11-12,1941,TV-G,9,"Animation,Comedy,Family",A ticking alarm clock keeps Donald awake. See details for advisory.
Movie,Earth Live,Glenn Weiss,"Jane Lynch,Phil Keoghan,Chris Packham",United States,2019-11-12,2017,TV-PG,94,"Animals & Nature,Documentary,Family","Earth Live gives viewers a unique, live view of wildlife around the world."
Movie,Easter Island Unsolved,Geoff Luck,Peter Demeo,United States,2019-11-12,2018,TV-14,45,"Documentary,Historical","Easter Island is a riddle, and its mysterious past may hold clues to its future."
Movie,Eddie's Million Dollar Cook-off,Paul Hoen,"Taylor Ball,Orlando Brown,Reiley McClendon,Mark Taylor,Rose McIver,Kylie Leydon",United States,2019-11-12,2003,TV-G,86,"Comedy,Coming of Age,Sports",A baseball prodigy swings for the culinary fences in a cooking competition.
Movie,Eight Below,Frank Marshall,"Paul Walker,Bruce Greenwood,Moon Bloodgood,Wendy Crewson,Gerard Plunkett,August Schellenberg",United States,2019-11-12,2006,PG,122,"Action-Adventure,Animals & Nature,Drama",An Antarctic storm threatens eight sled dogs alone in the wilderness.
TV Show,Elena of Avalor (Shorts),0,"Aimee Carrero,Jenna Ortega,Maximus Riegel,Gia Lopez,Desmond Gerber,Mick Wingert",0,2019-11-12,2017,TV-Y,2,"Action-Adventure,Animation,Fantasy",Elena travels to Vallestrella and trains with Zuzo!
Movie,Emil and the Detectives,Peter Tewksbury,"Walter Slezak,Roger Mobley,Heinz Schubert,Peter Ehrlich,Cindy Cassell,Elsa Wagner",United States,2019-11-12,1964,TV-PG,98,"Action-Adventure,Crime,Family","When a young boy's money is stolen, the search is on for the thief."
Movie,Empire of Dreams: The Story of the Star Wars Trilogy,"Edith Becker, Kevin Burns","Robert Clotworthy,Walter Cronkite,Anthony Daniels,Warwick Davis,Carrie Fisher,Harrison Ford",United States,2019-11-12,2004,TV-14,151,Documentary,"Explore the creation of Star Wars, a saga few thought could ever be made."
TV Show,Encore!,0,"Kristen Bell,Roger Love,Susan Egan,Ali Stroker,Stephen Schwartz",United States,2019-11-12,2019,TV-14,1,"Music,Reality",Kristen Bell reunites former high school classmates to re-stage musicals they performed in the past.
Movie,Escape to Witch Mountain,John Hough,"Eddie Albert,Ray Milland,Donald Pleasence,Kim Richards,Ike Eisenmann,Walter Barnes",United States,2019-11-12,1975,G,98,"Action-Adventure,Family,Fantasy",Two orphans with supernatural powers discover their mysterious past.
TV Show,Even Stevens,0,"Shia LaBeouf,Christy Romano,Nick Spano,Tom Virtue,Donna Pescow",United States,2019-11-12,2000,TV-PG,3,"Comedy,Coming of Age,Kids","Louis, a seventh-grade misfit, struggles to fit in at school and in his seemingly perfect family."
Movie,Expedition Mars: Spirit & Opportunity,Mark Davis,Bray Poor,United States,2019-11-12,2019,TV-PG,88,Documentary,"Expedition Mars explores the epic adventures of the Mars rovers, Spirit and Opportunity."
Movie,Fantasia,"Samuel Armstrong, James Algar, Bill Roberts","Deems Taylor,Walt Disney,Leopold Stokowski",United States,2019-11-12,1940,G,126,"Animation,Family,Fantasy",Walt Disney's timeless masterpiece is an extravaganza of sight and sound. See details for advisory.
Movie,Fantasia 2000,"Pixote Hunt, Hendel Butoy, Eric Goldberg","Steve Martin,Itzhak Perlman,Quincy Jones,Bette Midler,James Jones,Penn Teller",United States,2019-11-12,2000,G,76,"Animation,Family,Fantasy",A modern update of the Disney classic with new music and animation.
TV Show,Fantastic Four (Series),0,"Beau Weaver,Lori Alan,Chuck McCann,Brian Green,Stan Lee,Pauline Lomas",United States,2019-11-12,1994,TV-Y7,1,"Action-Adventure,Animation,Kids","Reed Richards, Sue and Johnny Storm and pilot Ben Grimm are transformed into the Fantastic Four."
TV Show,Fantastic Four: World's Greatest Heroes,0,"Christopher Jacot,Hiro Kanagawa,Lara Gilchrist,Brian Dobson",United States,2019-11-12,2007,TV-Y7,1,"Action-Adventure,Animation,Kids","Watch Mr. Fantastic, Invisible Woman, Human Torch, and Thing as they battle their greatest foes."
Movie,Ferdinand the Bull,Dick Rickard,0,United States,2019-11-12,1938,TV-G,8,"Animation,Comedy,Family",Ferdinand only wants to stop and smell the flowers. See details for advisory.
