type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
Movie,Duck the Halls: A Mickey Mouse Christmas Special,"Alonso Ramirez Ramos, Dave Wasson","Chris Diamantopoulos,Tony Anselmo,Tress MacNeille,Bill Farmer,Russi Taylor,Corey Burton",0,2021-11-26,2016,TV-G,23,"Animation,Family",Join Mickey and the gang as they duck the halls!
Movie,Ernest Saves Christmas,John Cherry,"Jim Varney,Noelle Parker,Douglas Seale",0,2021-11-26,1988,PG,91,Comedy,Santa Claus passes his magic bag to a new St. Nic.
Movie,Ice Age: A Mammoth Christmas,Karen Disher,"Raymond Albert Romano,John Leguizamo,Denis Leary,Queen Latifah",United States,2021-11-26,2011,TV-G,23,"Animation,Comedy,Family",Sid the Sloth is on Santa's naughty list.
Movie,The Queen Family Singalong,Hamish Hamilton,"Darren Criss,Adam Lambert,Derek Hough,Alexander Jean,Fall Out Boy,Jimmie Allen",0,2021-11-26,2021,TV-PG,41,Musical,"This is real life, not just fantasy!"
TV Show,The Beatles: Get Back,0,"John Lennon,Paul McCartney,George Harrison,Ringo Starr",0,2021-11-25,2021,0,1,"Docuseries,Historical,Music",A three-part documentary from Peter Jackson capturing a moment in music history with The Beatles.
Movie,Becoming Cousteau,Liz Garbus,"Jacques Yves Cousteau,Vincent Cassel",United States,2021-11-24,2021,PG-13,94,"Biographical,Documentary",An inside look at the legendary life of adventurer Jacques-Yves Cousteau.
TV Show,Hawkeye,0,"Jeremy Renner,Hailee Steinfeld,Vera Farmiga,Fra Fee,Tony Dalton,Zahn McClarnon",0,2021-11-24,2021,TV-14,1,"Action-Adventure,Superhero",Clint Barton/Hawkeye must team up with skilled archer Kate Bishop to unravel a criminal conspiracy.
TV Show,Port Protection Alaska,0,"Gary Muehlberger,Mary Miller,Curly Leach,Sam Carlson,Stuart Andrews,David Squibb",United States,2021-11-24,2015,TV-14,2,"Docuseries,Reality,Survival",Residents of Port Protection must combat volatile conditions to survive and thrive in Alaska.
TV Show,Secrets of the Zoo: Tampa,0,"Dr. Ray Ball,Dr. Lauren Smith,Chris Massaro,Tiffany Burns,Mike Burns,Melinda Mendolusky",United States,2021-11-24,2019,TV-PG,2,"Animals & Nature,Docuseries,Family",A day in the life at ZooTampa is anything but ordinary. It's extraordinary!
Movie,A Muppets Christmas: Letters To Santa,Kirk R. Thatcher,"Steve Whitmire,Dave Goelz,Bill Barretta,Eric Jacobson",United States,2021-11-19,2008,G,45,"Comedy,Family,Musical",Celebrate the holiday season with all your favorite Muppets.
Movie,Adventure Thru the Walt Disney Archives,John Gleim,"Don Hahn,Kathryn Beaumont,Pete Docter,Kevin Feige,Mark Hamill,Bob Iger",0,2021-11-19,2020,TV-PG,59,Documentary,Explore the treasures and rich history of the Walt Disney Archives.
Movie,Puppy for Hanukkah,0,0,0,2021-11-19,2020,TV-G,4,"Comedy,Family,Music","Check out Daveed Digg's official music video ""Puppy for Hanukkah!"""
Movie,The Pixar Story,Leslie Iwerks,"Stacy Keach,John Lasseter,Brad Bird,John Musker,Ron Clements,Frank Thomas",United States,2021-11-19,2007,G,91,"Documentary,Family",A groundbreaking company forever changes the face of filmmaking.
TV Show,"Dr. Oakley, Yukon Vet",0,"Dr. Michelle Oakley,Zachary Fine",United States,2021-11-17,2013,TV-PG,10,"Action-Adventure,Animals & Nature,Docuseries","Meet Dr. Michelle Oakley, vet to pretty much everything that moves in the rugged Yukon."
Movie,America the Beautiful,0,Michael B. Jordan,0,2021-11-12,2021,TV-PG,2,Animals & Nature,"Epic, grand portrait of the land across four regions on the most extreme continent. Coming in 2022."
Movie,Baymax!,0,0,0,2021-11-12,2021,TV-G,1,Animation,“Baymax!” premieres on Disney+ summer 2022.
Movie,Ciao Alberto,McKenna Harris,"Jack Dylan Grazer,Marco Barricelli",0,2021-11-12,2021,TV-PG,8,"Animation,Comedy,Family",Fun-loving sea monster Alberto whole-heartedly wants to prove himself to his stoic mentor Massimo.
TV Show,Disney Fancy Nancy,0,"Mia Jenness,Alyson Hannigan,Rob Riggle,Spencer Moss,Dana Heath","United States, Canada",2021-11-12,2018,TV-PG,3,"Animation,Kids",Nancy makes every day extraordinary!
TV Show,Disney Intertwined,0,"Carolina Domenech,José Jiménez Zapiola,Kevsho,Elena Roger,Clara Alonso,Emilia Mernes",0,2021-11-12,2021,TV-PG,1,"Comedy,Coming of Age,Drama",Allegra is ready to change the past in order to reach her dream.
Movie,Enchanted,Kevin Lima,"Amy Adams,Patrick Dempsey,James Marsden,Timothy Spall,Idina Menzel,Susan Sarandon",United States,2021-11-12,2007,PG,110,"Comedy,Family,Fantasy",An animated princess winds up in the real world of modern-day Manhattan.
Movie,Feast,Patrick Osborne,"Stephen Apostolina,Kirk Baily,Ben Bledsoe,David Cowgill,Terri Douglas,Fuschia!",United States,2021-11-12,2014,G,8,"Animation,Comedy,Drama",One man's love life seen through the eyes of his dog.
Movie,Frozen Fever,"Chris Buck, Jennifer Lee","Kristen Bell,Idina Menzel,Jonathan Groff,Josh Gad,Santino Fontana,Chris Williams",United States,2021-11-12,2015,G,11,"Animation,Family,Fantasy",Elsa wants to give Anna the best birthday party ever.
Movie,Get a Horse!,Lauren MacMullan,"Walt Disney,Marcellite Garner,Russi Taylor,Billy Bletcher,Will Ryan,Bob Bergen",United States,2021-11-12,2013,G,7,"Action-Adventure,Animation,Comedy",Mickey and friends hitch a ride on a musical hay wagon.
Movie,Home Sweet Home Alone,Dan Mazer,"Ellie Kemper,Rob Delaney,Archie Yates,Aisling Bea,Kenan Thompson,Tim Simons",United States,2021-11-12,2021,PG,95,"Comedy,Family","Alone for the holidays, Max Mercer will do whatever it takes to protect his home from trespassers."
Movie,Jungle Cruise,Jaume Collet-Serra,"Dwayne Johnson,Emily Blunt,Edgar Ramirez,Jack Whitehall,Jesse Plemons,Paul Giamatti",United States,2021-11-12,2021,PG-13,129,"Action-Adventure,Comedy,Family",Dr. Lily Houghton & skipper Frank Wolff team up for a wild ride on the Amazon.
Movie,Limitless with Chris Hemsworth,0,Chris Hemsworth,0,2021-11-12,2021,TV-14,2,Lifestyle,"""Limitless with Chris Hemsworth"" is coming to Disney+ in 2022."
Movie,Marvel Studios’ 2021 Disney+ Day Special,0,0,0,2021-11-12,2021,TV-PG,14,Movies,"Marvel Studios’ Disney+ Day Special explores the Disney+ series of the MCU – past, present and future."
Movie,Obi-Wan Kenobi,0,0,0,2021-11-12,2021,TV-PG,1,"Action-Adventure,Science Fiction","A behind the scenes look of the ""Obi-Wan Kenobi"" special event series. Coming to Disney+ in 2022."
TV Show,Olaf Presents,0,Josh Gad,0,2021-11-12,2021,TV-PG,1,"Animation,Family",Olaf goes from snowman to showman for his unique retelling of five favorite Disney Animation tales.
Movie,Paperman,John Kahrs,"John Kahrs,Kari Wahlgren",United States,2021-11-12,2012,G,7,"Animation,Comedy,Family",A young man strives to find girl of his dreams.
Movie,Pixar 2021 Disney+ Day Special,0,"Pete Docter,Larry the Cable Guy,Jack Dylan Grazer,Domee Shi,Angus MacLane",0,2021-11-12,2021,G,5,Movies,Join Pete Docter for a tour around Pixar and get a sneak peek at several upcoming Disney+ releases.
Movie,Shang-Chi and The Legend of The Ten Rings,Destin Daniel Cretton,"Simu Liu,Awkwafina,Tony Leung,Michelle Yeoh,Meng'er Zhang,Ben Kingsley","United States, Australia",2021-11-12,2021,PG-13,134,"Action-Adventure,Fantasy,Superhero","Shang-Chi must confront his father, leader of the Ten Rings organization."
Movie,Spin,Manjari Makijany,"Avantika,Michael Bishop,Anna Cathcart,Jahbril Cook,Kerri Medders,Aryan Simhadri",0,2021-11-12,2021,TV-G,94,"Coming of Age,Music",Rhea discovers her passion for creating DJ mixes!
Movie,Tangled Ever After,"Nathan Greno, Byron Howard","Mandy Moore,Zachary Levi,Alan Dale,Paul F. Tompkins,Kari Wahlgren,Mark Allen Stewart",United States,2021-11-12,2012,G,9,"Animation,Family",It's up to Max and Pascal to save the royal wedding.
Movie,The Ballad of Nessie,"Stevie Wermers-Skelton, Kevin Deters",Billy Connolly,0,2021-11-12,2011,G,8,"Animation,Family,Fantasy",A colorful tale about the friendly Loch Ness monster.
Movie,The Little Matchgirl,Roger Allers,0,United States,2021-11-12,2006,G,7,"Animation,Drama",A poor matchgirl sees happy images in the flames of her matches.
Movie,The Making of Happier Than Ever: A Love Letter to Los Angeles,David Clair,"Billie Eilish,FINNEAS,Gustavo Dudamel,Patrick Osborne,Robert Rodriguez",0,2021-11-12,2021,TV-PG,30,"Concert Film,Music","Go behind the scenes of ""Happier Than Ever: A Love Letter to Los Angeles."""
Movie,The Proud Family: Louder and Prouder,0,"Kyla Pratt,Tommy Davidson,Paula Jai Parker,JoMarie Payton,Cedric the Entertainer",0,2021-11-12,2021,TV-G,1,"Animation,Comedy,Coming of Age","""The Proud Family: Louder and Prouder"" follows Penny Proud and her family. Coming in February 2022."
Movie,The Simpsons in Plusaversary,David Silverman,"Dan Castellaneta,Nancy Cartwright,Yeardley Smith,Tress MacNeille,Hank Azaria",0,2021-11-12,2021,TV-PG,6,"Animation,Comedy",Celebrate Disney+ Day with The Simpsons and their friends from across the service.
Movie,Tick Tock Tale,Dean Wellins,0,United States,2021-11-12,2010,G,6,"Animation,Crime,Family",A tale of a quirky mantle clock.
Movie,Under the Helmet: The Legacy of Boba Fett,0,0,0,2021-11-12,2021,TV-PG,22,Science Fiction,"A special celebrating the origins and legacy of Star Wars’ legendary bounty hunter, Boba Fett."
Movie,Willow,0,0,0,2021-11-12,2021,TV-PG,3,"Action-Adventure,Fantasy","Meet the cast of the all-new Disney+ fantasy-adventure series ""Willow."" Coming to Disney+ in 2022."
Movie,Alvin and the Chipmunks: Chipwrecked,Mike Mitchell,"Jason Lee,David Cross,Jenny Slate,Justin Long,Matthew Gray Gubler,Jesse McCartney",United States,2021-11-05,2011,G,87,"Comedy,Family,Music",The Chipmunks and Chipettes get stranded on a remote island – or so it would seem.
Movie,Jingle All The Way,Brian Levant,"Arnold Schwarzenegger,Sinbad,Phil Hartman,Rita Wilson,Robert Conrad,Martin Mull",United States,2021-11-05,1996,PG,90,"Comedy,Family",A father's Christmas Eve turns into a madcap scramble to find a much sought-after toy for his son.
Movie,Jingle All the Way 2,Alex Zamm,"Larry the Cable Guy,Brian Stepanek,Santino Marella,Kennedi Clements,Kirsten Robek,Rachel Hayward",United States,2021-11-05,2014,PG,91,"Comedy,Family",Two dads compete to be the best father and make Christmas amazing!
Movie,Prep & Landing: Operation Secret Santa,"Kevin Deters, Stevie Wermers-Skelton","Betty White,Dave Foley,Derek Richardson,Sarah Chalke,W. Morgan Sheppard",0,2021-11-05,2010,TV-G,8,"Animation,Family,Fantasy",Mrs. Claus enlists two elves in a secret mission.
Movie,Santa Buddies: The Legend of Santa Paws,Robert Vince,"Christopher Lloyd,Danny Woodburn,Craig Anton,Michael Teigen,Ben Giroux,Paul Rae","United States, Canada",2021-11-05,2009,G,93,"Comedy,Fantasy,Kids","The Buddies remind Santa Paws' feisty son, Puppy Paws, about the true meaning of Christmas."
Movie,Snow Buddies,Robert Vince,"Dominic Scott Kay,John Kapelos,Lise Simms,Mike Dopud,Charles C. Stevenson Jr.,Dylan Minnette",United States,2021-11-05,2008,G,91,"Action-Adventure,Comedy,Kids",Disney’s favorite talking pups put one paw in front of the other in a thrilling Alaskan adventure.
Movie,Space Buddies,Robert Vince,"F.T. Anderson,Diedrich Bader,Field Cate,Kendall Cross,Mike Dopud,Mark Downey","United States, Canada",2021-11-05,2009,G,87,"Action-Adventure,Comedy,Kids","Disney's most adventurous talking pups take one small step for dog, one giant leap for dogkind."
Movie,The Search for Santa Paws,Robert Vince,"Resse Alexander,Diedrich Bader,Sahar Biniaz,Jan Boss,Ameko Eks Mass Carroll,Melody Choi",Canada,2021-11-05,2010,G,101,"Drama,Family,Fantasy",Discover how the legendary friendship of Santa Claus and Santa Paws began.
Movie,X-Men: First Class,Matthew Vaughn,"James McAvoy,Michael Fassbender,Rose Byrne,Jennifer Lawrence,January Jones,Nicholas Hoult","United States, United Kingdom",2021-11-05,2011,PG-13,132,"Action-Adventure,Science Fiction,Superhero","Following the classic mythology, X-Men: First Class charts the epic beginning of the X-Men saga."
TV Show,Disney Amphibia,0,"Justin Felbinger,Amanda Leighton,Bill Farmer,Brenda Song","United States, South Korea",2021-11-03,2018,TV-Y7,3,"Animation,Comedy,Family",Anne Boonchuy is transported to the world of Amphibia.
TV Show,Photo Ark,0,Joel Sartore,United States,2021-11-03,2017,TV-PG,1,"Animals & Nature,Docuseries,Family",National Geographic photographer Joel Sartore photographs some of the rarest animals in the world.
TV Show,Storm Rising,0,0,0,2021-11-03,2021,TV-14,1,"Action-Adventure,Animals & Nature,Docuseries",Storm chasers Reed Timmer and Mike Theiss track and study a new category of deadly storms.
Movie,Bob Ballard: An Explorer's Life,0,0,0,2021-10-29,2021,TV-PG,44,"Biographical,Documentary","An intimate portrait of Bob Ballard, the legendary explorer who found the Titanic."
Movie,"McFarland, USA",Niki Caro,"Kevin Costner,Maria Bello,Morgan Saylor,Martha Higareda,Michael Aguero,Sergio Avelar",United States,2021-10-29,2015,PG,131,"Drama,Sports",A coach guides underdogs past tremendous obstacles to become champions.
Movie,Rookie of the Year,Daniel Stern,"Thomas Ian Nicholas,Gary Busey,Albert Hall,Amy Morton,Dan Hedaya,Eddie Bracken",United States,2021-10-22,1993,PG,104,"Comedy,Family,Sports","A 12-year-old boy can throw a 100 mph fastball, and the Chicago Cubs want him as their new pitcher!"
Movie,Thumbelina,"Don Bluth, Gary Goldman","Gino Conforti,Barbara Cook,Jodi Benson,Will Ryan,June Foray,Kenneth Mars","Ireland, United States, Canada, United Kingdom, Denmark, Spain, Poland, Hungary",2021-10-22,1994,G,87,"Animation,Family,Fantasy",A digit-sized heroine evades the clutches of various creatures so she can reunite with her prince.
TV Show,PJ Masks,0,"Kyle Breitkopf,Jacob Ursomarzo,Addison Holley","France, United Kingdom",2021-10-20,2015,TV-Y7,5,"Action-Adventure,Animation,Kids",Look out Night Time Baddies the PJ Masks are coming!
TV Show,The Wild Life of Dr. Ole,0,0,0,2021-10-20,2021,TV-PG,1,"Animals & Nature,Reality","Doc Ole practices his unique brand of animal care with wit, expertise and insight."
Movie,Lost Cities with Albert Lin: The Great Flood,Jim Greayer,Dr. Albert Yu-Min Lin,0,2021-10-15,2021,TV-PG,44,"Documentary,Historical",Albert Lin is on a global quest to find the origins of Great Flood stories.
Movie,Megacity of the Maya Warriors,Ben Crichton,Albert Lin,0,2021-10-15,2021,TV-PG,44,Documentary,Albert Lin sets out to solve an ancient mystery and find a Lost Maya city.
TV Show,Apollo: Back To The Moon,0,"Bill Anders,Jack Clemons,Fred Haise,Glynn Lunney,Jay Barbree,Brad Vinikow",0,2021-10-13,2019,TV-PG,1,"Docuseries,Historical","Follow the Apollo lunar landing program from the inside, as never shown before."
TV Show,Just Beyond,0,"Mckenna Grace,Lexi Underwood,Cedric Joe,Tim Heidecker,Riki Lindhome,Nasim Pedrad",0,2021-10-13,2021,TV-PG,1,"Anthology,Comedy,Coming of Age","Inspired by the writings of R.L. Stine, “Just Beyond” is a supernatural anthology series."
TV Show,Secrets Of The Zoo: Down Under,0,Naomi Watts,0,2021-10-13,2020,TV-14,2,"Animals & Nature,Docuseries,Family",This series is a behind-the-scenes look at one of the world’s most famous zoos.
TV Show,Secrets of the Zoo: North Carolina,0,0,0,2021-10-13,2020,TV-14,1,Reality,"The North Carolina Zoo has more than 1,000 animals that live in lush natural habitats."
TV Show,The Wizard of Paws,0,0,0,2021-10-13,2021,TV-PG,1,"Animals & Nature,Docuseries,Medical",Follow pet prosthetics pioneer Derrick Campana as he gives troubled animals a second chance.
TV Show,Zombies: Addison's Moonstone Mystery,0,0,0,2021-10-13,2020,TV-G,1,"Animation,Coming of Age,Fantasy",Things are smooth sailing at Seabrook High until ...
Movie,Just Roll With It: You Decide Live!,0,"Tobie Windham,Suzi Barrett,Ramon Reed,Kaylin Hayman,JC Currais,Raven-Symoné",0,2021-10-08,2019,G,52,Comedy,The Bennett-Blatts set out to reverse an evil curse!
Movie,Mickey's Tale of Two Witches,Jeff Gordon,"Bret Iwan,Kaitlyn Robrock,Bill Farmer,Daniel Ross,Tress MacNeille,Jim Cummings",0,2021-10-08,2021,TV-Y,47,"Animation,Family,Fantasy",Mickey tells a tale of two witches-in-training!
Movie,Muppets Haunted Mansion,Kirk Thatcher,"Dave Goelz,Bill Barretta,Will Arnett,Taraji P. Henson,Yvette Nicole Brown,Darren Criss",0,2021-10-08,2021,TV-PG,53,"Comedy,Family,Musical",Gonzo is challenged to spend Halloween night in the scariest place on Earth – the Haunted Mansion.
Movie,The Most Magical Story on Earth: 50 Years of Walt Disney World,Dave Hoffman,"Whoopi Goldberg,Christina Aguilera,Halle Bailey,Orlando Philharmonic Orchestra,Anthony Anderson,Tom Brady",0,2021-10-08,2021,TV-PG,85,"Family,Variety",Celebrating 50 years of the Walt Disney World Resort.
Movie,Under Wraps,Alex Zamm,"Malachi Barton,Christian J. Simon,Sophia Hammons,Melanie Brook,Brent Stait,Jordana Largy",0,2021-10-08,2021,TV-G,92,"Action-Adventure,Comedy,Kids",Three friends revive a mummy in a neighbor's basement.
TV Show,Among the Stars,0,Chris Cassidy,0,2021-10-06,2021,TV-PG,1,Docuseries,NASA Astronaut Captain Chris Cassidy and the NASA team take on the challenges of space exploration.
Movie,Black Widow,Cate Shortland,"Scarlett Johansson,Florence Pugh,David Harbour,O-T Fagbenle,Rachel Weisz,Ray Winstone",United States,2021-10-06,2021,PG-13,135,"Action-Adventure,Science Fiction,Spy/Espionage",Natasha confronts her history as a spy and the broken relationships left in her wake.
TV Show,Drain the Oceans,0,Russell Boulter,"United Kingdom, Australia",2021-10-06,2017,TV-PG,4,"Docuseries,Historical",Pull the plug on the ocean to reveal hidden secrets using groundbreaking technology.
TV Show,Drain The Oceans: The Mississippi River & Arctic War,0,Kerry Shale,0,2021-10-06,2021,TV-14,1,"Docuseries,Historical",Drain the Oceans takes underwater archaeology into a whole new era.
Movie,Fauci,"John Hoffman, Janet Tobias","Dr. Anthony Fauci,Bono,George W. Bush,Peter Staley",United States,2021-10-06,2021,PG-13,105,"Biographical,Documentary","""Fauci"" reveals the extraordinary life and career of Dr. Anthony Fauci."
TV Show,IMPACT with Gal Gadot,0,Gal Gadot,United States,2021-10-06,2021,TV-14,1,Docuseries,National Geographic Presents IMPACT with Gal Gadot honors impactful women.
TV Show,The Ghost and Molly McGee,0,"Ashly Burch,Dana Snyder",United States,2021-10-06,2021,TV-Y7,1,"Animation,Buddy,Coming of Age",A grumpy ghost and cheerful tween are eternally bound.
Movie,Alvin and the Chipmunks,Tim Hill,"Jason Lee,David Cross,Cameron Richardson,Jane Lynch,Justin Long,Matthew Gray Gubler",United States,2021-10-01,2007,PG,91,"Animation,Comedy,Family","Pop-singer Chipmunks Alvin, Simon and Theodore turn a songwriter's life upside-down."
Movie,Alvin and the Chipmunks: The Road Chip,Walt Becker,"Jason Lee,Tony Hale,Kimberly Williams-Paisley,Josh Green,Bella Thorne,Uzo Aduba",United States,2021-10-01,2015,PG,92,"Comedy,Family,Music","Your favorite fur balls, the Chipmunks, hit the road for an all-new, music-filled adventure."
Movie,LEGO Star Wars Terrifying Tales,Ken Cunningham,"Jake Green,Raphael Alejandro,Dana Snyder,Tony Hale,Christian Slater,Trevor Devall",0,2021-10-01,2021,TV-Y7-FV,47,"Action-Adventure,Animation,Science Fiction",Poe and BB-8 are told terrifying tales as they search for help in Darth Vader’s creepy old castle.
Movie,Maleficent,Robert Stromberg,"Angelina Jolie,Sharlto Copley,Elle Fanning,Sam Riley,Imelda Staunton,Juno Temple","United States, United Kingdom",2021-10-01,2014,PG,99,"Action-Adventure,Family,Fantasy","Driven by revenge, Maleficent places a curse upon the king’s newborn infant, Aurora."
Movie,The Scariest Story Ever: A Mickey Mouse Halloween Spooktacular,"Alonso Ramirez Ramos, Eddie Trigueros, Dave Wasson","Chris Diamantopoulos,Tony Anselmo,Tress MacNeille,Bill Farmer,Russi Taylor",0,2021-10-01,2017,TV-G,22,"Animation,Family,Parody",Mickey tells a scary story on Halloween.
TV Show,Disney Vampirina,0,"Isabella Crovetti,Lauren Graham,James Van Der Beek,Jordan Davis,Wanda Sykes,Mitchell Whitfield","Ireland, United States",2021-09-29,2017,TV-Y7,3,"Animation,Fantasy,Kids",Vampirina is the new girl in town!
TV Show,Disney's Magic Bake-Off,0,"Issac Ryan Brown,Dara Reneé,Graciela Gomez",United States,2021-09-29,2021,TV-G,1,"Family,Game Show / Competition",Kid bakers compete to be named Disney Baking Champion.
TV Show,Great Barrier Reef,0,Don Halbert,0,2021-09-29,2020,TV-PG,1,"Animals & Nature,Docuseries",Explore the complex Great Barrier Reef along with the wildlife that inhabit it.
TV Show,Ready for Preschool,0,0,0,2021-09-29,2019,TV-Y,2,"Kids,Music",The love of learning begins with Disney Junior!
TV Show,Rolie Polie Olie,0,"Cole Caplan,Kristen Bone,Robert Smith,Catherine Disher,Adrian Truss,Len Carlson","Canada, United States, France",2021-09-29,1998,TV-Y,5,"Animation,Science Fiction",Rolie Polie Olie’s life and adventures center on his Robo-family.
TV Show,Star Wars Galaxy of Sounds,0,0,0,2021-09-29,2021,TV-PG,1,"Animation,Anthology,Science Fiction","""Star Wars Galaxy of Sounds"" immerses audiences in the nostalgic ambience of a galaxy far, far away."
TV Show,The Hatcher Family Dairy,0,0,0,2021-09-29,2021,TV-14,1,"Animals & Nature,Docuseries,Reality","The Hatcher Family enjoys a nonstop circus of animals, farming and family."
TV Show,The Simpsons,0,"Dan Castellaneta,Julie Kavner,Nancy Cartwright,Yeardley Smith,Hank Azaria,Pamela Hayden",United States,2021-09-29,1989,TV-PG,32,"Animation,Comedy","The world’s favorite nuclear family, in the award-winning, history-making series."
Movie,A Spark Story,"Jason Sterman, Leanne Dare","Apthon Corbin,Louis Gonzales",0,2021-09-24,2021,TV-PG,88,Documentary,Two Pixar filmmakers strive to bring their uniquely personal SparkShorts visions to the screen.
Movie,Spooky Buddies,Robert Vince,"Tucker Albrizzi,Diedrich Bader,Ameko Eks Mass Carroll,Max Charles,Tim Conway,Jennifer Elise Cox","United States, Canada",2021-09-24,2011,G,93,"Comedy,Fantasy,Kids",The puppies go on a spooky adventure through a mysterious haunted mansion in this fur-raising flick.
Movie,The Fault in Our Stars,Josh Boone,"Shailene Woodley,Ansel Elgort,Laura Dern,Sam Trammell,Nat Wolff,Willem Dafoe",United States,2021-09-24,2014,PG-13,127,"Coming of Age,Drama,Romance",Hazel and Gus share a love that sweeps them on an unforgettable journey.
TV Show,Dog: Impossible,0,Matt Beisner,United States,2021-09-22,2019,TV-PG,2,"Animals & Nature,Docuseries,Family",Matt Beisner uses unique approaches to modifying canine behavior and focuses on each animal’s needs.
TV Show,Spidey And His Amazing Friends,0,"Benjamin Valic,Lily Sanfelippo,Jakari Fraser,Dee Bradley Baker,Melanie Minichino",United States,2021-09-22,2021,TV-Y,1,"Action-Adventure,Animation,Kids",Spidey teams up with pals to become The Spidey Team!
TV Show,Star Wars: Visions,0,0,0,2021-09-22,2021,TV-PG,1,"Action-Adventure,Animation,Anime",An animated anthology celebrating Star Wars through the lens of the world’s best anime creators.
Movie,Confessions of a Shopaholic,P.J. Hogan,"Isla Fisher,Hugh Dancy,Joan Cusack,John Goodman,John Lithgow,Kristin Scott Thomas",United States,2021-09-17,2009,PG,106,"Comedy,Romance,Romantic Comedy",Becky writes a personal finance column en route to a high-fashion mag job.
Movie,Descendants: Royal Wedding,Salvador Simó,"Dove Cameron,Sofia Carson,Booboo Stewart,Mitchell Hope,Sarah Jeffery,Melanie Paxson",0,2021-09-17,2021,TV-G,22,"Animation,Fantasy,Musical",Mal and Ben’s wedding is finally here!
Movie,Disney's Broadway Hits at London's Royal Albert Hall,Jay Hatcher,"John Barrowman,Ashley Brown,Merle Dandridge,Trevor Dion Nicholas,Jade Ewen,Alton Fitzgerald White",0,2021-09-17,2016,TV-G,116,"Concert Film,Music",Experience the magic of Disney on Broadway in an unforgettable night of music.
Movie,Flooded Tombs of the Nile,Katie Bauer Murdock,Devin E. Haqq,0,2021-09-17,2021,TV-PG,44,Documentary,Archaeologists dive into a pyramid flooded by the Nile to search for a king’s burial.
Movie,Jade Eyed Leopard,0,Jeremy Irons,0,2021-09-17,2020,TV-PG,44,"Animals & Nature,Documentary","Jade Eyed Leopard follows a leopard, Toto, throughout the first three years of her life."
Movie,Nona,Louis Gonzales,0,0,2021-09-17,2021,G,9,"Animation,Comedy,Family",A grandmother's plan for a day alone is upended by an unexpected visit from her granddaughter.
Movie,Smoky Mountain Park Rangers,0,Peter Jessop,0,2021-09-17,2021,TV-PG,42,"Animals & Nature,Documentary",Park Rangers protect the wildlife in Great Smoky Mountain National Park.
TV Show,Life Below Zero,0,"Chip Hailstone,Agnes Hailstone,Sue Aikens,Andy Bassich",United States,2021-09-15,2012,TV-14,16,"Action-Adventure,Animals & Nature,Docuseries","Experience life deep in Alaska where the primal way lives on – brave the wild, fight the freeze."
TV Show,Miraculous: Tales Of Ladybug & Cat Noir,0,"Cristina Vee,Bryce Papenbrook,Keith Silverstein,Mela Lee,Max Mittelman,Carrie Keranen","France, South Korea, Japan, United States",2021-09-15,2015,TV-Y7,1,"Action-Adventure,Animation,Fantasy",Superheroes Ladybug and Cat Noir protect the city.
TV Show,Unknown Waters with Jeremy Wade,0,Jeremy Wade,0,2021-09-15,2021,TV-14,1,"Animals & Nature,Docuseries","Angler and adventurer, Jeremy Wade, explores the greatest river system in the world."
Movie,Far Away From Raven’s Home,0,"Raven-Symoné,Issac Ryan Brown,Navia Robinson,Jason Maybaum,Sky Katz,Anneliese van der Pol",0,2021-09-10,2021,TV-G,11,Comedy,Our gang is off for an exotic vacation of a lifetime!
Movie,Pirates of the Caribbean: On Stranger Tides,Rob Marshall,"Johnny Depp,Penélope Cruz,Ian McShane,Geoffrey Rush,Kevin R. McNally,Sam Claflin","United States, United Kingdom",2021-09-10,2011,PG-13,140,"Action-Adventure,Fantasy",A woman from his past uses Jack to help find the fabled Fountain of Youth.
Movie,Twenty Something,Aphton Corbin,"Kaylin Price,Ariana Brown,Aliyah Taylor,Janelle LaSalle,Napoleon Highbrou",United States,2021-09-10,2021,PG,11,"Animation,Family","Adulting is hard. One day you're nailing it, the next you're a stack of kids hiding in a trenchcoat."
TV Show,"Doogie Kamealoha, M.D.",0,"Peyton Elizabeth Lee,Emma Meisel,Matthew Sato,Wes Tian,Jeffrey Bowyer-Chapman,Mapuana Makia",United States,2021-09-08,2021,TV-PG,1,"Comedy,Coming of Age,Family",A 16-year-old prodigy juggles her budding medical career with the daily challenges of teenage life.
TV Show,"Mira, Royal Detective",0,"Leela Ladnier,Utkarsh Ambudkar,Roshni Edwards,Kal Penn,Kamran Lucas",United States,2021-09-08,2020,TV-Y,2,"Animation,Fantasy,Kids",Mira is the new royal detective in the land of Jalpur!
TV Show,Pepper Ann,0,"Kathleen Wilhoite,Clea Lewis,Danny Cooksey,Pamela Segall,April Winchell,Don Adams",United States,2021-09-08,1997,TV-Y,3,"Animation,Comedy,Coming of Age",Pepper Ann Pearson is a teenage girl on an eternal quest for coolness.
TV Show,The Incredible Dr. Pol,0,"Rick Robles,Dr. Pol",United States,2021-09-08,2011,TV-14,19,"Animals & Nature,Docuseries,Family",Dr. Pol and his team handle challenging veterinary cases and animal emergencies in central Michigan.
Movie,Happier Than Ever: A Love Letter to Los Angeles,"Robert Rodriguez, Patrick Osborne","Billie Eilish,FINNEAS",United States,2021-09-03,2021,TV-14,66,"Concert Film,Music","Billie Eilish makes her Disney+ debut with ""Happier Than Ever: A Love Letter to Los Angeles."""
